City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,esperance,-33.8667,121.9,64.51,70,99,11.56,AU,1675304393
179,meulaboh,4.1363,96.1285,78.28,75,64,4.32,ID,1675304393
180,cherskiy,68.75,161.3,-5.13,98,98,3.6,RU,1675304394
181,adtuyon,7.8144,124.8557,77.59,71,100,7.43,PH,1675304394
182,moshny,49.5147,31.7476,30.0,92,95,6.93,UA,1675304394
183,saldanha,-33.0117,17.9442,62.74,89,0,17.81,ZA,1675304394
184,douglasville,33.7515,-84.7477,54.09,89,100,1.99,US,1675304344
185,tixpehual,20.9833,-89.5167,78.01,83,0,10.36,MX,1675304395
186,arraial do cabo,-22.9661,-42.0278,78.66,78,20,10.36,BR,1675304395
187,gongzhuling,43.5008,124.8198,11.28,62,1,8.5,CN,1675304395
188,sao filipe,14.8961,-24.4956,70.99,72,53,10.76,CV,1675304396
189,oshakati,-17.7833,15.6833,71.4,72,96,0.87,NA,1675304396
190,aykhal,66.0,111.5,-25.92,100,97,3.98,RU,1675304396
191,caravelas,-17.7125,-39.2481,75.07,87,98,5.37,BR,1675304397
192,mordovo,52.0834,40.77,21.94,98,99,5.57,RU,1675304397
193,ouesso,1.6136,16.0517,73.81,74,92,2.42,CG,1675304398
194,pedernales,18.0384,-71.744,75.33,73,7,5.06,DO,1675304398
195,zletovo,41.9886,22.2361,34.03,68,14,3.36,MK,1675304398
196,verkhnyaya inta,65.9811,60.3094,22.87,84,50,17.94,RU,1675304398
197,peleduy,59.6289,112.7406,7.48,94,100,8.95,RU,1675304399
198,kutum,14.2,24.6667,57.92,23,57,7.23,SD,1675304186
199,gorom-gorom,14.4439,-0.2361,73.47,7,12,7.58,BF,1675304399
200,sorong,-0.8833,131.25,83.37,74,47,8.08,ID,1675304400
201,anadyr,64.75,177.4833,25.3,92,20,17.9,RU,1675304228
202,gloversville,43.0528,-74.3438,20.55,74,40,6.91,US,1675304400
203,yerkoy,39.6381,34.4672,21.97,90,63,4.07,TR,1675304401
204,mecca,21.4267,39.8261,64.69,58,43,12.37,SA,1675304401
205,puerto escondido,15.85,-97.0667,79.63,69,0,0.0,MX,1675304401
206,pakenham,-38.0667,145.4833,71.46,40,48,10.0,AU,1675304402
207,buchanan,5.8808,-10.0467,77.95,90,3,2.82,LR,1675304402
208,bugene,-1.5911,31.1403,56.08,89,29,1.34,TZ,1675304402
209,port lincoln,-34.7333,135.8667,66.61,65,81,28.34,AU,1675304347
210,palana,59.1167,159.9667,9.21,85,100,5.79,RU,1675304403
211,tsiroanomandidy,-18.7667,46.0333,67.48,95,100,0.47,MG,1675304403
212,el alto,-4.2714,-81.2147,74.86,78,80,3.44,PE,1675304403
213,palu,-0.8917,119.8707,82.22,84,100,2.37,ID,1675304404
214,nong bua,15.8646,100.5858,77.9,27,37,2.73,TH,1675304404
215,yerbogachen,61.2767,108.0108,-12.06,99,82,5.95,RU,1675304404
216,kaitangata,-46.2817,169.8464,72.09,70,80,4.88,NZ,1675304405
217,new norfolk,-42.7826,147.0587,68.92,39,98,5.99,AU,1675304405
218,henties bay,-22.116,14.2845,62.69,90,100,4.97,NA,1675304114
219,okuchi,32.0667,130.6167,52.48,47,31,0.78,JP,1675304405
220,krasnoselkup,65.7,82.4667,0.27,99,88,8.57,RU,1675304406
221,provideniya,64.3833,-173.3,24.91,80,75,15.66,RU,1675304406
222,daitari,21.1,85.75,63.07,28,7,4.29,IN,1675304406
223,katherine,-14.4667,132.2667,89.92,62,75,14.97,AU,1675304215
224,nueva imperial,-38.7333,-72.95,54.25,86,1,7.34,CL,1675304407
225,cabo san lucas,22.8909,-109.9124,67.6,73,0,4.61,MX,1675304200
226,tutoia,-2.7619,-42.2744,79.36,85,100,10.58,BR,1675304407
227,mount isa,-20.7333,139.5,73.17,94,75,6.91,AU,1675304408
228,hasaki,35.7333,140.8333,46.8,39,100,15.32,JP,1675304408
229,ambovombe,-25.1667,46.0833,70.75,88,39,13.56,MG,1675304408
230,oistins,13.0667,-59.5333,75.29,73,20,8.05,BB,1675304409
231,khilok,51.3674,110.4676,3.67,84,91,3.89,RU,1675304409
232,placido de castro,-10.3353,-67.1856,73.78,94,100,1.39,BR,1675304409
233,egvekinot,66.3167,-179.1667,6.98,91,54,8.08,RU,1675304409
234,hambantota,6.1241,81.1185,76.51,87,92,6.96,LK,1675304410
235,gizo,-8.103,156.8419,85.01,71,100,10.2,SB,1675304410
236,touros,-5.1989,-35.4608,80.01,73,100,10.78,BR,1675304411
237,port-cartier,50.0334,-66.8654,8.28,98,93,4.54,CA,1675304411
238,lompoc,34.6391,-120.4579,53.02,77,0,8.01,US,1675304411
239,salalah,17.0151,54.0924,73.49,56,75,4.61,OM,1675304412
240,bathsheba,13.2167,-59.5167,75.81,73,20,8.05,BB,1675304412
241,kochki,54.3358,80.4806,-7.51,100,39,3.58,RU,1675304413
242,darhan,49.4867,105.9228,-6.61,93,99,4.65,MN,1675304213
243,stornoway,58.2093,-6.3865,44.92,97,75,4.61,GB,1675304413
244,nha trang,12.25,109.1833,78.8,88,86,5.61,VN,1675304414
